mode,run,notes_seconds,quiz_seconds,total_seconds,model,temperature,seed,slide_source,questions_found,returned_five,attempts,validation_passed,output_file,accuracy,coverage,structure,quiz_relevance,answerability,usefulness,invalid_source_basis,generated_notes_basis,shape_warnings,quiz_seeds,quiz_structured
Transcript only,1,10.69,4.81,15.49,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194012_815635_transcript_only.txt,,,,,,,0,0,0,,True
Slide text only,1,1.82,4.01,5.84,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194018_653968_slide_text_only.txt,,,,,,,0,0,0,,True
Combined transcript and slide text,1,2.37,5.28,7.65,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194026_300598_combined_transcript_and_slide_text.txt,,,,,,,0,0,0,,True
"Transcript, slide text and notes",1,2.64,4.73,7.37,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194033_674997_transcript_slide_text_and_notes.txt,,,,,,,0,0,0,,True
Transcript only,2,1.86,4.77,6.64,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194040_313443_transcript_only.txt,,,,,,,0,0,0,,True
Slide text only,2,1.80,4.02,5.82,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194046_138836_slide_text_only.txt,,,,,,,0,0,0,,True
Combined transcript and slide text,2,2.28,5.08,7.36,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194053_497225_combined_transcript_and_slide_text.txt,,,,,,,0,0,0,,True
"Transcript, slide text and notes",2,2.69,4.71,7.41,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194100_904234_transcript_slide_text_and_notes.txt,,,,,,,0,0,0,,True
Transcript only,3,1.86,4.76,6.62,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194107_526583_transcript_only.txt,,,,,,,0,0,0,,True
Slide text only,3,1.78,3.93,5.71,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194113_241979_slide_text_only.txt,,,,,,,0,0,0,,True
Combined transcript and slide text,3,2.30,5.12,7.42,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194120_658300_combined_transcript_and_slide_text.txt,,,,,,,0,0,0,,True
"Transcript, slide text and notes",3,2.63,4.69,7.33,llama3.2,0.0,,,5,True,1,True,outputs/structured_t0_a1\20260917_194127_986151_transcript_slide_text_and_notes.txt,,,,,,,0,0,0,,True
